date,brand,metric,value
2022-01,TOYOTA,sales,22886
2022-02,TOYOTA,sales,24865
2022-03,TOYOTA,sales,33344
2022-04,TOYOTA,sales,27779
2022-05,TOYOTA,sales,13297
2022-06,TOYOTA,sales,2729
2022-07,TOYOTA,sales,29326
2022-08,TOYOTA,sales,30844
2022-09,TOYOTA,sales,33449
2022-10,TOYOTA,sales,3374
2022-11,TOYOTA,sales,26462
2022-12,TOYOTA,sales,28128
2022-01,DAIHATSU,sales,18319
2022-02,DAIHATSU,sales,15036
2022-03,DAIHATSU,sales,17465
2022-04,DAIHATSU,sales,15617
2022-05,DAIHATSU,sales,6981
2022-06,DAIHATSU,sales,16925
2022-07,DAIHATSU,sales,15935
2022-08,DAIHATSU,sales,15339
2022-09,DAIHATSU,sales,18781
2022-10,DAIHATSU,sales,17489
2022-11,DAIHATSU,sales,20963
2022-12,DAIHATSU,sales,23815
2022-01,HONDA,sales,10883
2022-02,HONDA,sales,11407
2022-03,HONDA,sales,12975
2022-04,HONDA,sales,10149
2022-05,HONDA,sales,8114
2022-06,HONDA,sales,9057
2022-07,HONDA,sales,9599
2022-08,HONDA,sales,11427
2022-09,HONDA,sales,13374
2022-10,HONDA,sales,9962
2022-11,HONDA,sales,11691
2022-12,HONDA,sales,12642
2022-01,MITSUBISHI MOTORS,sales,12135
2022-02,MITSUBISHI MOTORS,sales,10018
2022-03,MITSUBISHI MOTORS,sales,11501
2022-04,MITSUBISHI MOTORS,sales,7528
2022-05,MITSUBISHI MOTORS,sales,5414
2022-06,MITSUBISHI MOTORS,sales,47
2022-07,MITSUBISHI MOTORS,sales,8023
2022-08,MITSUBISHI MOTORS,sales,97
2022-09,MITSUBISHI MOTORS,sales,6056
2022-10,MITSUBISHI MOTORS,sales,6108
2022-11,MITSUBISHI MOTORS,sales,7056
2022-12,MITSUBISHI MOTORS,sales,10812
2022-01,SUZUKI,sales,7017
2022-02,SUZUKI,sales,675
2022-03,SUZUKI,sales,8604
2022-04,SUZUKI,sales,5801
2022-05,SUZUKI,sales,6026
2022-06,SUZUKI,sales,7215
2022-07,SUZUKI,sales,7467
2022-08,SUZUKI,sales,8064
2022-09,SUZUKI,sales,7651
2022-10,SUZUKI,sales,7663
2022-11,SUZUKI,sales,816
2022-12,SUZUKI,sales,999
2022-01,MITSUBISHI FUSO,sales,2432
2022-02,MITSUBISHI FUSO,sales,229
2022-03,MITSUBISHI FUSO,sales,1788
2022-04,MITSUBISHI FUSO,sales,4799
2022-05,MITSUBISHI FUSO,sales,1307
2022-06,MITSUBISHI FUSO,sales,3183
2022-07,MITSUBISHI FUSO,sales,3731
2022-08,MITSUBISHI FUSO,sales,4105
2022-09,MITSUBISHI FUSO,sales,3401
2022-10,MITSUBISHI FUSO,sales,3075
2022-11,MITSUBISHI FUSO,sales,3638
2022-12,MITSUBISHI FUSO,sales,3837
2022-01,ISUZU,sales,2828
2022-02,ISUZU,sales,28
2022-03,ISUZU,sales,342
2022-04,ISUZU,sales,2854
2022-05,ISUZU,sales,274
2022-06,ISUZU,sales,2594
2022-07,ISUZU,sales,3239
2022-08,ISUZU,sales,3463
2022-09,ISUZU,sales,345
2022-10,ISUZU,sales,3262
2022-11,ISUZU,sales,3091
2022-12,ISUZU,sales,2905
2022-01,HYUNDAI-HMID,sales,122
2022-02,HYUNDAI-HMID,sales,24
2022-03,HYUNDAI-HMID,sales,215
2022-04,HYUNDAI-HMID,sales,2175
2022-05,HYUNDAI-HMID,sales,1532
2022-06,HYUNDAI-HMID,sales,1805
2022-07,HYUNDAI-HMID,sales,2262
2022-08,HYUNDAI-HMID,sales,57
2022-09,HYUNDAI-HMID,sales,5126
2022-10,HYUNDAI-HMID,sales,3505
2022-11,HYUNDAI-HMID,sales,2
2022-12,HYUNDAI-HMID,sales,209
2022-01,HINO,sales,2022
2022-02,HINO,sales,1764
2022-03,HINO,sales,2336
2022-04,HINO,sales,1533
2022-05,HINO,sales,1871
2022-06,HINO,sales,29
2022-07,HINO,sales,2832
2022-08,HINO,sales,2961
2022-09,HINO,sales,3136
